gene_name,logFC,logCPM,F,PValue,FDR
RPS16P5,-10.887039197585535,3.3572880805742815,24.462493253872925,7.592202666703921e-7,1.3358975735717725e-4
FCGR2C,-11.79155854616374,3.090880356488836,24.345049297952762,8.069292713774338e-7,1.4011738461460868e-4
BHLHE23,-11.79062450569717,3.0900709700310847,24.33733267999641,8.101672349843941e-7,1.4011738461460868e-4
NTNG2,-11.785160019968439,3.0844535126864017,24.28464348460018,8.326270451746399e-7,1.4278142592465118e-4
FCGR2A,-9.625890064997611,7.261785305984775,24.16548832814756,8.857490862031774e-7,1.5061456100269997e-4
DUX4L26,-10.215216386915039,3.497894528034372,24.09407278883889,9.192032920513998e-7,1.5403087743237945e-4
MIR223,-10.37189762653725,3.4485750555092647,24.09017693829363,9.210643029067415e-7,1.5403087743237945e-4
RP11-9H12.7,-11.760477833630075,3.060141675073043,24.056674317058928,9.372249516021181e-7,1.5423175547707346e-4
C5orf58,-11.760630705215487,3.060057810531434,24.056089503050337,9.375095588673109e-7,1.5423175547707346e-4
CEACAM4,-11.7572002170021,3.056431230444441,24.02242361984506,9.540404439052681e-7,1.5568555147115403e-4
REXO1L9P,-11.743679238969877,3.0435739018113948,23.902197231956418,1.0154974685594038e-6,1.6438873021039628e-4
ENSG00000264063,-9.67075273158788,8.01060802011353,23.882194906883147,1.0261007470916478e-6,1.6478689378888488e-4
AOAH,-8.621514001512658,5.350623585569176,23.824312245951457,1.0574141880770883e-6,1.684785519349597e-4
NDUFA13,9.661523571953477,7.951475146044727,23.804411666521496,1.068399961638874e-6,1.6889900956064543e-4
RPL37AP1,12.04345666123824,3.3450768491902294,23.687761477829124,1.1351360183745113e-6,1.7805796381246695e-4
TLR1,-8.930967877839134,5.9717117803813995,23.649489331729086,1.1579301663325014e-6,1.8023628396721667e-4
PHACTR1,-8.555228400107117,5.3553342743089685,23.593303902896974,1.1922273968666535e-6,1.8415817843966972e-4
CTD-2057D4.2,-9.920049157376333,3.521010976951345,23.551072136541272,1.2186760279325645e-6,1.8681749564557153e-4
HCK,-8.599876985790635,5.487356506594907,23.506182928078875,1.247434453010825e-6,1.8978824177950408e-4
SNRNP27,10.246716855411115,3.6414920103584394,23.424705537241643,1.3013834334728632e-6,1.9651861027107002e-4
SNCA,-8.788492774706524,5.860400187327423,23.404220039603555,1.3153118479363462e-6,1.971506314295701e-4
MDK,9.566215863495989,8.458594335640546,23.371509479609546,1.3378629231333903e-6,1.986053212911004e-4
NOD2,-8.603391047059262,4.19096418724647,23.36177746559004,1.344646850352397e-6,1.986053212911004e-4
TREM1,-8.624657392987368,5.66203889323581,23.253043289246758,1.4228298458299802e-6,2.086301589157221e-4
PLEK,-9.365718364964673,7.461950681032658,23.22509460825693,1.4436520541689902e-6,2.1016042673460087e-4
RP11-69L16.5,8.404289567408913,4.587967231683746,23.04699133374267,1.5837141556858226e-6,2.2802264533422479e-4
ITGAM,-8.399222910267001,4.315118078099729,23.040716175654172,1.5888901898752506e-6,2.2802264533422479e-4
STEAP4,-8.251400077350405,4.575532313774394,22.983953656282853,1.6364882693421543e-6,2.33199578381257e-4
PLA2G2A,8.470101896260802,5.4078768234258625,22.88670383449109,1.721385279649456e-6,2.4309458232966172e-4
ELAPOR1,-10.750252858458072,3.1779433951612397,22.87715694234822,1.7299540328871405e-6,2.4309458232966172e-4
CYTIP,-8.37580047350933,5.440899023482323,22.81396378272692,1.7877617636713369e-6,2.494852364682035e-4
GOLGA5P1,-11.613568146516583,2.914353077579054,22.724152577387965,1.8732689584354852e-6,2.596273792735756e-4
RNA5-8SN2,-9.381359463062571,9.265670419612757,22.59029422363976,2.008387098959361e-6,2.7646063229552835e-4
NBL1,8.382497617284038,5.507755225029543,22.55000809314494,2.0509353472667626e-6,2.7951154174181485e-4
OR52K3P,-11.593210417269956,2.89400094833508,22.543234659452132,2.0581774015087925e-6,2.7951154174181485e-4
RN7SL4P,-9.412156535973478,9.718523079563532,22.518623205776358,2.0847082279249964e-6,2.81227139947082e-4
NCF1B,-8.151183926358973,5.186926370471546,22.432212024975826,2.1806050052866615e-6,2.922155118011629e-4
CTC-483L24.2,-9.3760217378353,3.5210394257966606,22.231851559567968,2.4203366477619887e-6,3.2220731623331474e-4
TOMM6,8.265795048006899,5.5216327780841805,22.180758704699386,2.485590713736835e-6,3.28731556159901e-4
ZNF593,8.100223676183381,5.211740591156655,22.094126199356356,2.6002941456723144e-06,3.416685197251902e-4
RN7SL5P,-9.204624452964177,9.228114609395567,22.06592787342224,2.638763408882282e-6,3.423352230032361e-4
